"","Start date","State","Duration of 'high' episode (weeks)","Weekly cases per 100K","Weekly hospital admissions per 100K","Percentage of inpatient beds occupied by COVID-19 patients","Weekly deaths per 100K 21 days after start","Binding indicator","max","check_bound","check_bound2","type"
"64",2021-10-13,"South Carolina",1,217,15.4990158707592,14.0905069194624,3.85,"Hosps",9.45,FALSE,FALSE,"End"
"65",2021-10-13,"Tennessee",1,207,15.9316485419759,14.1794670121104,2.24,"Hosps",6.65,FALSE,FALSE,"End"
"66",2021-10-20,"Kentucky",1,249,24.2408072390258,12.8032891988575,6.16,"Hosps",6.93,FALSE,FALSE,"End"
"67",2021-10-20,"New Hampshire",18,283,13.605832415859,7.36499205392062,2.66,"Hosps",5.53,FALSE,FALSE,"Start"
"68",2021-10-20,"Oklahoma",1,183,22.8457575251373,10.0009627248913,4.27,"Hosps",12.81,FALSE,FALSE,"End"
"69",2021-10-20,"Washington",1,205,9.19251261967831,10.7767694407641,1.68,"Hosps",3.78,FALSE,FALSE,"End"
"70",2021-10-27,"Delaware",1,208,13.6583402138506,6.76119908686389,1.96,"Hosps",3.22,FALSE,FALSE,"End"
"71",2021-11-10,"Idaho",1,232,17.0111327791658,17.3940654639526,3.22,"Hosps",12.04,FALSE,FALSE,"End"
"72",2021-11-10,"Indiana",15,208,15.0173367800424,8.89752141744478,3.5,"Cases",10.99,TRUE,TRUE,"Start"
"73",2021-11-10,"Kansas",15,234,16.3044560249942,7.30361241318354,2.38,"Cases",8.19,TRUE,TRUE,"Start"
"74",2021-11-10,"Vermont",16,350,11.0578872383968,5.86909152129757,0.98,"Hosps",3.22,FALSE,FALSE,"Start"
"75",2021-11-17,"Delaware",14,225,12.3233144786622,5.89087729309873,2.8,"Cases",6.44,TRUE,TRUE,"Start"
"76",2021-11-17,"Kentucky",16,213,17.9959455403294,7.63658120346362,8.96,"Cases",8.96,TRUE,TRUE,"Start"
"77",2021-11-17,"New York",13,208,10.2706131797669,5.14809425410927,1.75,"Hosps",7.63,FALSE,TRUE,"Start"
"78",2021-11-24,"Alaska",1,330,11.3458502211074,9.40365888654229,0.42,"Hosps",12.6,FALSE,FALSE,"End"
"79",2021-11-24,"Illinois",13,257,13.0289087890367,7.50060660811041,2.73,"Cases",8.54,TRUE,TRUE,"Start"
"80",2021-12-01,"Massachusetts",11,290,11.4617287798061,5.03617096522635,3.08,"Hosps",7.91,FALSE,FALSE,"Start"
"81",2021-12-01,"Missouri",12,239,17.0103828509271,9.17461735645997,2.73,"Cases",10.15,TRUE,TRUE,"Start"
"82",2021-12-08,"Connecticut",10,300,16.1838303620438,7.79984134563338,2.38,"Hosps",9.45,FALSE,TRUE,"Start"
"83",2021-12-08,"Montana",1,158,22.6426816420248,9.32384932447236,1.4,"Hosps",10.85,FALSE,FALSE,"End"
"84",2021-12-08,"New Jersey",9,316,15.4128655207781,7.33562526438119,1.96,"Cases",8.75,TRUE,TRUE,"Start"
"85",2021-12-08,"North Carolina",12,205,10.4594890735048,7.25391841356199,0.98,"Hosps",5.53,FALSE,TRUE,"Start"
"86",2021-12-08,"Oklahoma",12,237,24.2862532982931,8.50970219360106,1.26,"Cases",8.61,TRUE,TRUE,"Start"
"87",2021-12-08,"Rhode Island",10,565,14.442668740873,8.78154307672841,4.41,"Hosps",6.02,FALSE,FALSE,"Start"
"88",2021-12-08,"Wyoming",1,220,18.3150499603462,12.2278263965541,4.13,"Cases",11.9,TRUE,TRUE,"End"
"89",2021-12-15,"District of Columbia",8,227,16.011358145743,4.39016604815029,1.68,"Cases",3.29,TRUE,TRUE,"Start"
"90",2021-12-15,"Virginia",10,212,12.5827146539068,9.03057065049373,1.05,"Cases",10.43,TRUE,TRUE,"Start"
"91",2021-12-22,"Florida",9,351,10.9043145467327,3.14201741936992,1.26,"Hosps",6.72,FALSE,TRUE,"Start"
"92",2021-12-22,"Georgia",9,250,14.1842328406808,6.42774077748728,2.31,"Hosps",6.23,FALSE,TRUE,"Start"
"93",2021-12-22,"Maryland",7,299,22.2472906273571,13.6427944227825,7,"Cases",7.49,TRUE,TRUE,"Start"
"94",2021-12-22,"Nevada",9,212,17.5315795693465,9.60421019995956,3.15,"Cases",7.14,TRUE,TRUE,"Start"
"95",2021-12-22,"Tennessee",10,242,12.9298213810338,8.10673450145373,3.01,"Cases",9.73,TRUE,TRUE,"Start"
"96",2021-12-22,"Texas",9,202,11.2429762006542,6.68621106511393,2.24,"Hosps",5.18,FALSE,TRUE,"Start"
"97",2021-12-29,"Alabama",8,392,14.4599887624065,5.30323942384597,2.38,"Hosps",7.35,FALSE,TRUE,"Start"
"98",2021-12-29,"Arkansas",9,385,19.5175034561555,8.95189619297805,3.01,"Cases",8.96,TRUE,TRUE,"Start"
"99",2021-12-29,"California",8,398,11.4825227626398,9.06896517222887,1.82,"Hosps",3.5,FALSE,TRUE,"Start"
"100",2021-12-29,"Hawaii",8,761,10.0997830312345,5.21172380907207,1.47,"Hosps",2.94,FALSE,FALSE,"Start"
"101",2021-12-29,"Louisiana",8,617,20.7365609231125,5.33300474400541,2.8,"Hosps",6.16,FALSE,TRUE,"Start"
"102",2021-12-29,"Mississippi",8,449,15.5906172708423,7.23936009461042,3.36,"Hosps",13.3,FALSE,TRUE,"Start"
"103",2021-12-29,"South Carolina",9,346,16.1982195942521,8.3870802560718,3.5,"Hosps",8.82,FALSE,TRUE,"Start"
"104",2021-12-29,"Wyoming",8,204,11.2309268624764,9.78075354703563,2.24,"Cases",5.04,TRUE,TRUE,"Start"
"105",2022-01-05,"Idaho",9,309,12.646434237143,11.4827382242344,4.27,"Cases",7.7,TRUE,TRUE,"Start"
"106",2022-01-05,"Montana",10,332,23.7654592441087,7.11030485336112,2.52,"Cases",5.88,TRUE,TRUE,"Start"
"107",2022-01-05,"Oregon",7,553,10.1002030235645,9.17968375438559,3.29,"Hosps",3.78,FALSE,TRUE,"Start"
"108",2022-01-05,"Washington",7,747,16.6647121633882,11.5139176310067,4.27,"Hosps",5.04,FALSE,FALSE,"Start"
"109",2022-01-12,"Alaska",6,1382,15.5834569301957,7.14354487167951,1.47,"Hosps",3.71,FALSE,FALSE,"Start"
"110",2022-02-02,"District of Columbia",1,281,24.3712708059098,17.841970553075,0.84,"Hosps",3.29,FALSE,FALSE,"End"
"111",2022-02-02,"Maryland",1,240,19.0549284778553,18.3987744801331,1.61,"Hosps",7.49,FALSE,FALSE,"End"
"112",2022-02-02,"New Jersey",1,382,23.4626820637703,19.3690777669818,2.94,"Hosps",8.75,FALSE,FALSE,"End"
"113",2022-02-09,"Connecticut",1,231,17.1935667451176,10.5476108886792,2.1,"Hosps",9.45,FALSE,FALSE,"End"
"114",2022-02-09,"Massachusetts",1,328,15.9593691870718,7.88873869462616,3.36,"Hosps",7.91,FALSE,FALSE,"End"
"115",2022-02-09,"Nebraska",1,323,22.0222414299362,18.1867961536707,4.41,"Hosps",8.47,FALSE,FALSE,"End"
"116",2022-02-09,"New York",1,233,17.883615241446,13.9906181394899,1.47,"Hosps",7.63,FALSE,FALSE,"End"
"117",2022-02-09,"Ohio",1,221,23.7571754882754,15.0260482419152,4.76,"Hosps",10.64,FALSE,FALSE,"End"
"118",2022-02-09,"Pennsylvania",1,360,20.3874569803177,14.2563202032246,3.29,"Hosps",9.1,FALSE,FALSE,"End"
"119",2022-02-09,"Rhode Island",1,461,12.8379277696649,9.78365720489207,0.84,"Hosps",6.02,FALSE,FALSE,"End"
"120",2022-02-16,"Alabama",1,283,26.6153530817214,15.6309825648291,7.35,"Hosps",7.35,FALSE,FALSE,"End"
"121",2022-02-16,"Alaska",1,622,12.9862141084964,9.54684019720172,1.4,"Hosps",3.71,FALSE,FALSE,"End"
"122",2022-02-16,"California",1,273,15.8254826614033,16.1187198929746,2.66,"Hosps",3.5,FALSE,FALSE,"End"
